qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.03480648994445801,0.04427337646484375,0.043506622314453125,0.05033564567565918,0.04613184928894043,0.05090594291687012,0.022752046585083008
0.03133416175842285,0.043953895568847656,0.04288816452026367,0.047473907470703125,0.045473337173461914,0.05074286460876465,0.020879030227661133
0.030829668045043945,0.04311203956604004,0.04278254508972168,0.048430681228637695,0.047068119049072266,0.051760196685791016,0.021270275115966797
0.03206062316894531,0.04480385780334473,0.04431605339050293,0.04754924774169922,0.0479586124420166,0.05257773399353027,0.021259307861328125
0.03264164924621582,0.04350399971008301,0.056348562240600586,0.05622410774230957,0.04592728614807129,0.050824880599975586,0.020736217498779297
0.03136920928955078,0.04691052436828613,0.04348874092102051,0.04799199104309082,0.04532790184020996,0.050789833068847656,0.020989656448364258
0.03072834014892578,0.042168378829956055,0.0406947135925293,0.05043840408325195,0.04557013511657715,0.050316810607910156,0.020737886428833008
0.03010845184326172,0.041480302810668945,0.04201936721801758,0.050130367279052734,0.04544472694396973,0.050435781478881836,0.02062201499938965
0.030665159225463867,0.04078936576843262,0.04206395149230957,0.0477902889251709,0.04622626304626465,0.0519101619720459,0.021080493927001953
0.030981779098510742,0.04291272163391113,0.04385256767272949,0.04624032974243164,0.046515703201293945,0.05035066604614258,0.02079606056213379
0.03003239631652832,0.04144644737243652,0.04224896430969238,0.04865884780883789,0.04953193664550781,0.05104947090148926,0.020761728286743164
0.03103184700012207,0.04226565361022949,0.04198908805847168,0.04871010780334473,0.045630693435668945,0.05065441131591797,0.02075505256652832
0.03401589393615723,0.042005300521850586,0.04229426383972168,0.047768354415893555,0.04750180244445801,0.05130887031555176,0.02111053466796875
0.030768394470214844,0.04171395301818848,0.04306364059448242,0.04643750190734863,0.0463716983795166,0.05077981948852539,0.02093052864074707
0.030761003494262695,0.042751312255859375,0.042411088943481445,0.04706168174743652,0.04542684555053711,0.05038309097290039,0.020578384399414062
0.030560016632080078,0.04113316535949707,0.042527198791503906,0.047336578369140625,0.04624462127685547,0.050887346267700195,0.020755529403686523
0.030751466751098633,0.042432308197021484,0.0449671745300293,0.04864215850830078,0.047248125076293945,0.050461769104003906,0.020598649978637695
0.030439376831054688,0.04263663291931152,0.04578733444213867,0.04716944694519043,0.046341657638549805,0.05080533027648926,0.020593881607055664
0.030609130859375,0.0410618782043457,0.042786598205566406,0.04622983932495117,0.04574394226074219,0.05121254920959473,0.020601511001586914
0.030364990234375,0.042539119720458984,0.04372668266296387,0.04865288734436035,0.04735970497131348,0.051590681076049805,0.0204923152923584
